OBJECTID,AIN,APN,SitusHouseNo,SitusFraction,SitusDirection,SitusUnit,SitusStreet,SitusAddress,SitusCity,SitusZIP,SitusFullAddress,TaxRateArea,TaxRateCity,AgencyClassNo,AgencyName,AgencyType,UseCode,UseCode_2,UseType,UseDescription,DesignType1,YearBuilt1,EffectiveYear1,Units1,Bedrooms1,Bathrooms1,SQFTmain1,DesignType2,YearBuilt2,EffectiveYear2,Units2,Bedrooms2,Bathrooms2,SQFTmain2,DesignType3,YearBuilt3,EffectiveYear3,Units3,Bedrooms3,Bathrooms3,SQFTmain3,DesignType4,YearBuilt4,EffectiveYear4,Units4,Bedrooms4,Bathrooms4,SQFTmain4,DesignType5,YearBuilt5,EffectiveYear5,Units5,Bedrooms5,Bathrooms5,SQFTmain5,RecDate,RecDocNo,Roll_Year,Roll_LandValue,Roll_ImpValue,Roll_PersPropValue,Roll_FixtureValue,Roll_HomeOwnersExemp,Roll_RealEstateExemp,Roll_PersPropExemp,Roll_FixtureExemp,Roll_LandBaseYear,Roll_ImpBaseYear,LastSaleDate,LastSaleAmount,QualityClass1,QualityClass2,QualityClass3,QualityClass4,QualityClass5,LegalDescLine1,LegalDescLine2,LegalDescLine3,LegalDescLine4,LegalDescLine5,LegalDescLineLast,LegalDescription,SpatialChangeDate,ParcelCreateDate,ParcelTypeCode,Assr_Map,Assr_Index_Map,CENTER_LAT,CENTER_LON,CENTER_X,CENTER_Y,LAT_LON,Fire_Name,* Damage,Structure Category,Total_Units,GlobalID,SHAPE__Area,SHAPE__Length,Tot_SqFt,DINS_Count,LCITY,COMMUNITY,BSD_Tag,,Estimated Property Tax,,,AvgTaxRate (in Decimal | Percent: 1.18%)
97810,4412013017,4412-013-017,677, , , ,VIA DE LA PAZ,677 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,677 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,130,2007,2007,1,5,5,3708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20020603,1259191,2024,1448329,1001878,0,0,0,0,0,0,2002,2007,20020603,1000010,D11B ,,,,,TRACT,,,,,# 9300 N 56 FT OF LOT   16 BLK   22,TRACT # 9300 N 56 FT OF LOT   16 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04256777,-118.5286095,6401526.64,1838294.49,"34.042568, -118.528609",Palisades,Destroyed (>50%),Single Residence,1,2160b65a-52ee-4480-b7e4-3298de859228,7834.881836,391.8357464,3708,1,Los Angeles,Pacific Palisades,,,17090.28,,,0.0118
97811,4412013018,4412-013-018,671, , , ,VIA DE LA PAZ,671 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,671 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,110,1941,1956,1,3,3,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20221012,981305,2024,2585904,646476,0,0,0,0,0,0,2023,2023,20221012,3169031,D75B ,,,,,TRACT # 9300 SW 5 FT,,,,,OF LOT 16 AND ALL OF LOT   17 BLK   22,TRACT # 9300 SW 5 FT OF LOT 16 AND ALL OF LOT   17 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04241847,-118.5286468,6401515.049,1838240.216,"34.042418, -118.528647",Palisades,Destroyed (>50%),Single Residence,1,8bd1c99b-6044-444c-b593-6347bc619480,7696.912109,389.8625064,2234,1,Los Angeles,Pacific Palisades,,,30513.67,,,
97812,4412013019,4412-013-019,667, , , ,VIA DE LA PAZ,667 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,667 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,120,1946,1962,1,3,3,2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20220511,514003,2024,718537,437981,0,0,7000,0,0,0,1997,1997,19970103,9,D7C  ,,,,,TRACT # 9300 LOT   18 BLK   22,,,,,,TRACT # 9300 LOT   18 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04227722,-118.5286821,6401504.092,1838188.87,"34.042277, -118.528682",Palisades,Destroyed (>50%),Single Residence,1,5ede8a2a-a550-4655-bf5a-9bcbfcc9a1a0,6997.078125,379.8793638,2403,1,Los Angeles,Pacific Palisades,,,8478.74,,,
97813,4412013020,4412-013-020,659, , , ,VIA DE LA PAZ,659 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,659 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,121,1996,1996,1,5,4,3680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20211123,1739318,2024,4577760,1716660,0,0,0,0,0,0,2022,2022,20211123,6050060,D85D ,,,,,TRACT,,,,,# 9300 LOTS 19 AND LOT   20 BLK   22,TRACT # 9300 LOTS 19 AND LOT   20 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04207544,-118.5287325,6401488.441,1838115.52,"34.042075, -118.528732",Palisades,Destroyed (>50%),Single Residence,1,74bbbf5a-35cb-489a-8ec1-7dfab6cd8529,13993.5332,479.8830946,3680,1,Los Angeles,Pacific Palisades,,,54017.57,,,
97814,4412013021,4412-013-021,651, , , ,VIA DE LA PAZ,651 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,651 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,122,1946,1965,1,3,2,2402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180702,659921,2024,183648,219899,0,0,7000,0,0,0,1977,1977,19761201,9,D7B  ,,,,,TRACT # 9300 LOT   21 BLK   22,,,,,,TRACT # 9300 LOT   21 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04187366,-118.5287829,6401472.778,1838042.171,"34.041874, -118.528783",Palisades,Destroyed (>50%),Single Residence,1,846d0abe-ca8f-4157-beb7-493895e5a04c,6996.951172,379.8748996,2402,1,Los Angeles,Pacific Palisades,,,2167.05,,,
97815,4412013022,4412-013-022,647, , , ,VIA DE LA PAZ,647 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,647 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,120,1950,1971,1,4,3,3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20221201,1123724,2024,1831104,457776,0,0,0,0,0,0,2022,2022,20220121,9,D7B  ,,,,,TRACT # 9300 LOT   22 BLK   22,,,,,,TRACT # 9300 LOT   22 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04173914,-118.5288165,6401462.349,1837993.269,"34.041739, -118.528816",Palisades,Destroyed (>50%),Single Residence,1,f37dea73-6104-4589-8e1b-4220e934beaa,6997.348633,379.8869727,3207,1,Los Angeles,Pacific Palisades,,,21607.03,,,
97816,4412013023,4412-013-023,641, , , ,VIA DE LA PAZ,641 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,641 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,200,2,Residential,Two Units,100,1942,1942,1,2,1,598,120,1942,1942,1,5,3,2379,,,,,,,,,,,,,,,,,,,,,,20210419,615643,2024,418509,251092,1000,0,0,0,0,0,1982,1982,19810332,9,D5A  ,D75B ,,,,TRACT # 9300,,,,,LOT 23 AND NE 25 FT OF LOT   24 BLK   22,TRACT # 9300 LOT 23 AND NE 25 FT OF LOT   24 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.041571,-118.5288585,6401449.296,1837932.147,"34.041571, -118.528858",Palisades,Destroyed (>50%),Single Residence,2,fc9d25bb-6f58-4e23-81fd-818dfa5d82b4,10495.57422,429.8850708,2977,2,Los Angeles,Pacific Palisades,,,4938.41,,,
97817,4412013024,4412-013-024,631, , , ,VIA DE LA PAZ,631 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,631 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,123,1923,1947,1,5,5,3564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180531,540948,2024,3257313,920902,0,0,0,0,0,0,2018,2018,20171013,9,D9B  ,,,,,TRACT # 9300 SW 25 FT,,,,,OF LOT 24 AND ALL OF LOT   25 BLK   22,TRACT # 9300 SW 25 FT OF LOT 24 AND ALL OF LOT   25 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04136923,-118.5289089,6401433.639,1837858.799,"34.041369, -118.528909",Palisades,Destroyed (>50%),Single Residence,1,6d2635e1-f893-45a2-a16a-9b7e779c95eb,10496.80762,429.9049525,3564,2,Los Angeles,Pacific Palisades,,,38436.29,,,
97818,4412013025,4412-013-025,623, , , ,VIA DE LA PAZ,623 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,623 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,110,1987,1993,1,3,4,3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20190523,474249,2024,777838,575754,0,0,7000,0,0,0,1988,1994,19871028,9,D95C ,,,,,TRACT # 9300 LOT   26 BLK   22,,,,,,TRACT # 9300 LOT   26 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04120107,-118.5289531,6401419.887,1837797.676,"34.041201, -118.528953",Palisades,Destroyed (>50%),Single Residence,1,95c68c01-5802-421f-9a04-3bbc4fd198af,7064.782227,385.2909002,3504,1,Los Angeles,Pacific Palisades,,,9178.49,,,
97819,4412013026,4412-013-026,621, , , ,VIA DE LA PAZ,621 VIA DE LA PAZ,LOS ANGELES CA,90272-4365,621 VIA DE LA PAZ LOS ANGELES CA 90272,67,LOS ANGELES,0,,,100,1,Residential,Single,110,1940,1940,1,3,2,1522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160719,843437,2024,251448,307112,0,0,7000,0,0,0,1984,1984,19840106,9,D7B  ,,,,,TRACT # 9300 LOT   27 BLK   22,,,,,,TRACT # 9300 LOT   27 BLK   22,2/11/2019 10:14,0,0,4412-013,4412-NDX,34.04106879,-118.529003,6401404.567,1837749.615,"34.041069, -118.529003",Palisades,Destroyed (>50%),Single Residence,1,7f4b34e7-dafb-414a-ae16-21a52e4c115a,7557.961914,403.8317976,1522,1,Los Angeles,Pacific Palisades,,,2967.09,,,
