Tax Area Code,Elementary District,High School District,City,Primary Rate,Residential Rate,Secondary Rate
000000,No,School,No School Unincorporated,3.7797,3.7797,0.6508
001000,No,School,No School Mesa,3.7797,3.7797,1.5090
001200,No,School,No School Peoria,4.0697,4.0697,1.8008
001300,No,School,No School Phoenix,5.0455,5.0455,1.4649
001400,No,School,No School Scottsdale,4.2688,4.2688,1.0741
001500,No,School,No School Surprise,4.3331,4.3331,1.0388
010000,Phoenix,#1,Phoenix Unincorporated,5.7006,4.1400,6.4247
011300,Phoenix,#1,Phoenix Phoenix,6.9664,5.4058,7.2388
020000,Riverside,#2,Phoenix Unincorporated,5.2499,3.8633,4.8786
021300,Riverside,#2,Phoenix Phoenix,6.5157,5.1291,5.6927
030000,Tempe,#3,Tempe Unincorporated,5.4524,3.8918,4.0743
030900,Tempe,#3,Tempe Guadalupe,5.4524,3.8918,4.0743
031000,Tempe,#3,Tempe Mesa,5.4524,3.8918,4.9325
031300,Tempe,#3,Tempe Phoenix,6.7182,5.1576,4.8884
031400,Tempe,#3,Tempe Scottsdale,5.9415,4.3809,4.4976
031600,Tempe,#3,Tempe Tempe,6.3268,4.7662,5.6592
040000,Mesa,#4,Unified Unincorporated,5.5939,4.0333,3.4138
040300,Mesa,#4,Unified Chandler,5.8057,4.2451,4.2838
040600,Mesa,#4,Unified Gilbert,5.5939,4.0333,4.3938
041000,Mesa,#4,Unified Mesa,5.5939,4.0333,4.2720
041600,Mesa,#4,Unified Tempe,6.4683,4.9077,4.9987
042000,Mesa,#4,Unified Apache Junction,5.5939,4.0333,3.4138
050000,Isaac,#5,Phoenix Unincorporated,5.7132,4.1526,8.4537
051300,Isaac,#5,Phoenix Phoenix,6.9790,5.4184,9.2678
060000,Washington,#6,Glendale Unincorporated,5.5743,4.0137,5.0537
060700,Washington,#6,Glendale Glendale,5.8985,4.3379,6.1833
061300,Washington,#6,Glendale Phoenix,6.8401,5.2795,5.8678
070000,Wilson,#7,Phoenix Unincorporated,5.6083,4.0477,6.2605
071300,Wilson,#7,Phoenix Phoenix,6.8741,5.3135,7.0746
080000,Osborn,#8,Phoenix Unincorporated,5.5741,4.0135,5.3320
081300,Osborn,#8,Phoenix Phoenix,6.8399,5.2793,6.1461
090000,Wickenburg,#9,Unified Unincorporated,4.6556,3.4373,1.3954
090200,Wickenburg,#9,Unified Buckeye,6.2560,5.0377,2.0450
091500,Wickenburg,#9,Unified Surprise,5.2090,3.9907,1.7834
091800,Wickenburg,#9,Unified Wickenburg,5.0553,3.8370,1.3954
110000,Peoria,#11,Unified Unincorporated,5.3905,3.8299,2.5145
110700,Peoria,#11,Unified Glendale,5.7147,4.1541,3.6441
111200,Peoria,#11,Unified Peoria,5.6805,4.1199,3.6645
111500,Peoria,#11,Unified Surprise,5.9439,4.3833,2.9025
140000,Creighton,#14,Phoenix Unincorporated,5.6427,4.0821,5.7846
141100,Creighton,#14,Phoenix Paradise Valley,5.6427,4.0821,5.7846
141300,Creighton,#14,Phoenix Phoenix,6.9085,5.3479,6.5987
150000,Peoria,Unorganized,No School Unincorporated,3.7797,3.7797,0.6508
150400,Peoria,Unorganized,No School El Mirage,5.4393,5.4393,1.6286
151200,Peoria,Unorganized,No School Peoria,4.0697,4.0697,1.8008
151500,Peoria,Unorganized,No School Surprise,4.3331,4.3331,1.0388
151900,Peoria,Unorganized,No School Youngtown,3.7797,3.7797,0.6508
170000,Tolleson,#17,Tolleson Unincorporated,5.5410,3.9804,7.4094
170100,Tolleson,#17,Tolleson Avondale,6.1505,4.5899,8.2591
171300,Tolleson,#17,Tolleson Phoenix,6.8068,5.2462,8.2235
171700,Tolleson,#17,Tolleson Tolleson,7.0568,5.4962,8.5696
210000,Murphy,#21,Phoenix Unincorporated,5.6505,4.0899,4.7771
211300,Murphy,#21,Phoenix Phoenix,6.9163,5.3557,5.5912
